domain,ipv4,ipv6,all_ips,error
rpki-rrdp.us-east-2.amazonaws.com,65.8.76.102;65.8.76.6;65.8.76.104;65.8.76.58,2600:9000:2153:e800:9:17f8:9840:93a1;2600:9000:2153:200:9:17f8:9840:93a1;2600:9000:2153:1800:9:17f8:9840:93a1;2600:9000:2153:8e00:9:17f8:9840:93a1;2600:9000:2153:1400:9:17f8:9840:93a1;2600:9000:2153:8200:9:17f8:9840:93a1;2600:9000:2153:4600:9:17f8:9840:93a1;2600:9000:2153:c00:9:17f8:9840:93a1,65.8.76.102;65.8.76.6;65.8.76.104;65.8.76.58;2600:9000:2153:e800:9:17f8:9840:93a1;2600:9000:2153:200:9:17f8:9840:93a1;2600:9000:2153:1800:9:17f8:9840:93a1;2600:9000:2153:8e00:9:17f8:9840:93a1;2600:9000:2153:1400:9:17f8:9840:93a1;2600:9000:2153:8200:9:17f8:9840:93a1;2600:9000:2153:4600:9:17f8:9840:93a1;2600:9000:2153:c00:9:17f8:9840:93a1,
rpki.admin.freerangecloud.com,23.154.81.122,,23.154.81.122,
krill.peravix.group,3.8.1.15,,3.8.1.15,
repodepot.wildtky.com,131.143.79.34,2602:f8c6:79:100:34::1,131.143.79.34;2602:f8c6:79:100:34::1,
rki.plasmanodes.com,,,,no records
rpki-rrdp.idnic.net,116.193.189.51,,116.193.189.51,
rpki-01.pdxnet.uk,168.119.49.138,2a01:4f8:c013:3443::1,168.119.49.138;2a01:4f8:c013:3443::1,
rrdp.twnic.tw,103.235.88.19,2406:da14:7c1:9200:422d:5ca9:e141:92a7,103.235.88.19;2406:da14:7c1:9200:422d:5ca9:e141:92a7,
krill.ipgua.com,103.172.27.112,,103.172.27.112,
rpki.pudu.be,64.187.208.51,2a06:a340:abcd::51,64.187.208.51;2a06:a340:abcd::51,
rpki.miralium.net,,,,no records
rov-measurements.nlnetlabs.net,64.225.72.59,2a03:b0c0:2:d0::87b:e001,64.225.72.59;2a03:b0c0:2:d0::87b:e001,
rpki-repo.canops.org,23.140.52.8,2602:f633:0:30::10,23.140.52.8;2602:f633:0:30::10,
chloe.sobornost.net,46.23.94.25,2a03:6000:6f66:615::25,46.23.94.25;2a03:6000:6f66:615::25,
krill.sy5.nsw.au.infininet.com.au,103.248.51.34,,103.248.51.34,
rrdp.rp.ki,44.222.21.1,2600:1f18:13eb:bc00:dd1f:445e:e92d:8911,44.222.21.1;2600:1f18:13eb:bc00:dd1f:445e:e92d:8911,
rpki-publication.haruue.net,172.67.146.105;104.21.33.146,2606:4700:3036::ac43:9269;2606:4700:3030::6815:2192,172.67.146.105;104.21.33.146;2606:4700:3036::ac43:9269;2606:4700:3030::6815:2192,
krill.ca-bc-01.ssmidge.xyz,170.39.49.51,,170.39.49.51,
alias.rpki-measurement.site,101.4.56.61,,101.4.56.61,
rpki.ssmidge.xyz,155.248.239.44,,155.248.239.44,
rpki.sunoaki.net,51.254.198.236,2602:2a3:3::d:e692,51.254.198.236;2602:2a3:3::d:e692,
rpki.folf.systems,45.79.192.20,2600:3c02::f03c:92ff:fe46:72f0,45.79.192.20;2600:3c02::f03c:92ff:fe46:72f0,
rrdp-rps.arin.net,199.212.0.148;199.5.26.148;199.71.0.148,2001:500:a9::148;2001:500:31::148;2001:500:13::148,199.212.0.148;199.5.26.148;199.71.0.148;2001:500:a9::148;2001:500:31::148;2001:500:13::148,
rrdp.sub.apnic.net,104.18.236.68;104.18.235.68,2606:4700::6812:eb44;2606:4700::6812:ec44,104.18.236.68;104.18.235.68;2606:4700::6812:eb44;2606:4700::6812:ec44,
krill.starlamp.su,140.235.199.27,2a0b:4e07:310::148,140.235.199.27;2a0b:4e07:310::148,
sakuya.nat.moe,141.193.21.22,2602:feda:4:dead:216:3eff:fec7:efab,141.193.21.22;2602:feda:4:dead:216:3eff:fec7:efab,
rrdp.prefixlogic.com,54.88.7.98,,54.88.7.98,
rrdp.as214749.net,5.175.180.203,2a0f:6284:4300:101::10ad,5.175.180.203;2a0f:6284:4300:101::10ad,
ca.nat.moe,208.167.242.134,2001:19f0:5:3b99:5400:2ff:fead:cf71,208.167.242.134;2001:19f0:5:3b99:5400:2ff:fead:cf71,
rpki.zappiehost.com,95.211.63.25,,95.211.63.25,
rrdp.paas.rpki.ripe.net,2.19.117.100;2.19.117.79,2a02:26f0:6d00:c::686e:bfc1;2a02:26f0:6d00:c::686e:bfc8,2.19.117.100;2.19.117.79;2a02:26f0:6d00:c::686e:bfc1;2a02:26f0:6d00:c::686e:bfc8,
rpki.axivora.net,142.91.106.140,2401:d560:0:106:1c00:2aff:fe00:369,142.91.106.140;2401:d560:0:106:1c00:2aff:fe00:369,
rrdp.krill.nlnetlabs.nl,128.140.98.85,2a01:4f8:1c1b:93db::1,128.140.98.85;2a01:4f8:1c1b:93db::1,
rpki.luys.cloud,8.210.250.129;47.242.218.87;8.210.32.31;150.129.41.52,,8.210.250.129;47.242.218.87;8.210.32.31;150.129.41.52,
krill.byhill.de,5.231.204.32,2a09:54c3:600a::a,5.231.204.32;2a09:54c3:600a::a,
rpki-rrdp.mnihyc.com,172.67.208.113;104.21.23.24,2606:4700:3034::ac43:d071;2606:4700:3032::6815:1718,172.67.208.113;104.21.23.24;2606:4700:3034::ac43:d071;2606:4700:3032::6815:1718,
rrdp.rpki.tianhai.link,43.128.240.40,,43.128.240.40,
rpki.qs.nu,95.216.140.6,2a01:4f9:c010:cbd::1,95.216.140.6;2a01:4f9:c010:cbd::1,
orca.rg.net,198.180.152.61,2001:418:3807::61,198.180.152.61;2001:418:3807::61,
rpki.leitecastro.com,23.147.168.5,2602:faa5:130::5,23.147.168.5;2602:faa5:130::5,
rpki.nellicus.net,142.248.90.28,,142.248.90.28,
repo.kagl.me,104.37.40.237,,104.37.40.237,
rrdp.ripe.net,2.19.117.85;2.19.117.70,2a02:26f0:6d00:c::686e:bfd3;2a02:26f0:6d00:c::686e:bfbe,2.19.117.85;2.19.117.70;2a02:26f0:6d00:c::686e:bfd3;2a02:26f0:6d00:c::686e:bfbe,
krill.peering.ee.columbia.edu,150.164.213.243,,150.164.213.243,
feo.tla.org,,2600:3c03:e001:2106::fe0,2600:3c03:e001:2106::fe0,
rpki.tools.westconnect.ca,23.129.32.54,2602:fd60:11::54,23.129.32.54;2602:fd60:11::54,
rpki-repo.nex3.com.br,168.181.126.12,2804:2ea0::a000,168.181.126.12;2804:2ea0::a000,
rpki.sailx.co,208.82.103.214,,208.82.103.214,
rpki.rand.apnic.net,203.133.248.19,2401:2000:6660::19,203.133.248.19;2401:2000:6660::19,
rpki.xindi.eu,185.173.16.136,2a0b:2f00:0:234::136,185.173.16.136;2a0b:2f00:0:234::136,
rpki-rrdp.warpnet.xyz,51.79.145.241,2402:1f00:8000:800::1b74,51.79.145.241;2402:1f00:8000:800::1b74,
